Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
174,35,8,83,2,Some Random Commen with Id 174
175,35,8,62,4,Some Random Commen with Id 175
176,36,6,47,7,Some Random Commen with Id 176
177,36,6,5,8,Some Random Commen with Id 177
178,36,6,96,0,Some Random Commen with Id 178
179,36,6,78,7,Some Random Commen with Id 179
180,37,6,165,6,Some Random Commen with Id 180
181,37,6,194,3,Some Random Commen with Id 181
182,37,6,29,6,Some Random Commen with Id 182
183,37,6,108,2,Some Random Commen with Id 183
184,37,6,190,1,Some Random Commen with Id 184
185,37,6,164,8,Some Random Commen with Id 185
186,37,6,133,5,Some Random Commen with Id 186
187,37,6,174,6,Some Random Commen with Id 187
188,38,2,99,3,Some Random Commen with Id 188
189,39,9,4,8,Some Random Commen with Id 189
190,39,9,31,6,Some Random Commen with Id 190
191,39,9,188,3,Some Random Commen with Id 191
192,39,9,43,4,Some Random Commen with Id 192
